,Коммунарка,Ольховая,Прокшино,Филатов Луг,Саларьево,Румянцево,Тропарёво,Юго-Западная,Проспект Вернадского,Университет,Воробьёвы горы,Спортивная,Фрунзенская,Парк культуры,Кропоткинская,Библиотека имени Ленина,Охотный Ряд,Лубянка,Чистые пруды,Красные Ворота,Комсомольская,Красносельская,Сокольники,Преображенская площадь,Черкизовская,Бульвар Рокоссовского,Алма-Атинская,Красногвардейская,Домодедовская,Орехово,Царицыно,Кантемировская,Каширская,Коломенская,Технопарк,Автозаводская,Павелецкая,Новокузнецкая,Театральная,Тверская,Маяковская,Белорусская,Динамо,Аэропорт,Сокол,Войковская,Водный стадион,Речной вокзал,Беломорская,Ховрино,Щёлковская,Первомайская,Измайловская,Партизанская,Семёновская,Электрозаводская,Бауманская,Курская,Площадь Революции,Арбатская,Киевская,Парк Победы,Славянский бульвар,Кунцевская,Молодёжная,Крылатское,Строгино,Мякинино,Волоколамская,Митино,Пятницкое шоссе,Кунцевская,Пионерская,Филёвский парк,Багратионовская,Фили,Кутузовская,Студенческая,Международная,Выставочная,Киевская,Смоленская,Арбатская,Александровский сад,Белорусская,Новослободская,Проспект Мира,Комсомольская,Курская,Таганская,Павелецкая,Добрынинская,Октябрьская,Парк культуры,Киевская,Краснопресненская,Новоясеневская,Ясенево,Тёплый Стан,Коньково,Беляево,Калужская,Новые Черёмушки,Профсоюзная,Академическая,Ленинский проспект,Шаболовская,Октябрьская,Третьяковская,Китай-город,Тургеневская,Сухаревская,Проспект Мира,Алексеевская,ВДНХ,Ботанический сад,Свиблово,Бабушкинская,Медведково,Котельники,Жулебино,Лермонтовский проспект,Выхино,Рязанский проспект,Кузьминки,Текстильщики,Волгоградский проспект,Пролетарская,Таганская,Китай-город,Кузнецкий Мост,Пушкинская,Баррикадная,Улица 1905 года,Беговая,Полежаевская,Октябрьское Поле,Щукинская,Спартак,Тушинская,Сходненская,Планерная,Новокосино,Новогиреево,Перово,Шоссе Энтузиастов,Авиамоторная,Площадь Ильича,Марксистская,Третьяковская,Рассказовка,Новопеределкино,Боровское шоссе,Солнцево,Говорово,Озёрная,Мичуринский проспект,Раменки,Ломоносовский проспект,Минская,Парк Победы,Шелепиха,Хорошёвская,ЦСКА,Петровский парк,Савёловская,Алтуфьево,Бибирево,Отрадное,Владыкино,Петровско-Разумовская,Тимирязевская,Дмитровская,Савёловская,Менделеевская,Цветной бульвар,Чеховская,Боровицкая,Полянка,Серпуховская,Тульская,Нагатинская,Нагорная,Нахимовский проспект,Севастопольская,Чертановская,Южная,Пражская,Улица Академика Янгеля,Аннино,Бульвар Дмитрия Донского,Зябликово,Шипиловская,Борисово,Марьино,Братиславская,Люблино,Волжская,Печатники,Кожуховская,Дубровка,Крестьянская Застава,Римская,Чкаловская,Сретенский бульвар,Трубная,Достоевская,Марьина Роща,Бутырская,Фонвизинская,Петровско-Разумовская,Окружная,Верхние Лихоборы,Селигерская,Деловой центр,Шелепиха,Хорошёвская,ЦСКА,Петровский парк,Савёловская,Бунинская Аллея,Улица Горчакова,Бульвар Адмирала Ушакова,Улица Скобелевская,Улица Старокачаловская,Лесопарковая,Битцевский парк,Некрасовка,Лухмановская,Улица Дмитриевского,Косино,Юго-Восточная,Окская,Стахановская,Нижегородская,Авиамоторная,Лефортово
Сокол,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,14,15,17,16,15,14,13,12,13,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,14,13,12,11,10,9,8,7,6,7,5,6,7,8,9,10,11,12,13,14,15,8,11,10,9,8,7,6,7,6,5,9,8,7,3,4,5,6,7,8,8,8,7,6,5,4,19,18,17,16,15,14,13,12,11,10,9,8,7,8,8,10,5,7,8,9,10,11,12,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,7,13,14,15,14,13,12,11,10,9,8,7,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,3,15,11,13,9,11,7,6,5,4,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,16,17,18,17,16,15,14,12,11,11,10,9,9,8,6,7,8,9,12,11,12,13,14,6,5,4,3,2,3,23,22,21,20,19,20,19,18,17,16,15,16,17,12,11,10,11
Маяковская,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,13,12,11,10,9,8,9,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,3,5,6,7,8,9,10,11,12,13,14,15,8,12,11,10,9,8,7,8,7,3,5,4,3,1,2,3,4,5,5,4,6,5,4,3,2,15,14,13,12,11,10,9,8,7,6,5,4,3,4,4,6,7,8,10,11,11,13,13,13,12,11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,10,9,8,7,6,5,4,3,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,3,11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,12,13,14,13,12,11,10,8,7,7,6,5,5,4,2,3,4,5,8,7,8,9,10,6,5,4,3,2,3,19,18,17,16,15,16,15,14,13,12,11,12,13,8,7,6,7
Речной вокзал,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,10,11,12,13,14,15,16,17,18,20,19,18,17,16,15,16,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,17,16,15,14,13,12,11,10,9,10,8,9,10,11,12,13,14,15,6,7,8,11,14,13,12,11,10,9,10,9,8,12,11,10,6,7,8,9,10,11,11,11,10,9,8,7,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,12,8,10,11,12,13,14,15,20,19,18,17,16,15,14,13,12,11,10,9,8,9,10,11,7,13,14,15,16,12,18,17,16,15,14,13,12,11,10,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,6,15,17,13,15,11,13,9,8,7,9,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,19,20,21,20,18,17,16,16,15,13,13,12,12,11,9,10,11,12,15,14,15,16,17,9,8,7,6,5,6,26,25,24,23,22,23,22,21,20,19,18,19,20,15,14,13,14
Белорусская,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,4,5,6,3,8,9,10,11,12,14,13,12,11,10,9,10,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,11,10,9,8,7,6,5,4,3,4,2,3,4,5,6,7,8,9,10,11,12,5,8,7,6,5,4,3,4,3,2,3,5,4,0,1,2,3,4,5,6,5,4,3,2,1,16,15,14,13,12,11,10,9,8,7,6,5,4,5,5,7,2,4,5,6,7,8,9,14,13,12,11,10,9,8,7,6,5,4,3,2,1,4,5,6,7,8,9,10,11,12,11,10,9,8,7,6,5,4,13,12,11,10,9,8,7,6,5,4,3,4,3,2,1,2,12,8,10,6,8,4,3,2,1,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,13,14,15,14,13,12,11,9,8,8,7,6,6,5,3,4,5,6,6,8,9,10,11,5,4,3,2,1,2,20,19,18,17,16,17,16,15,14,13,12,13,14,9,8,7,8
Беломорская,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,13,14,15,16,17,18,19,21,20,19,18,17,16,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,18,17,16,15,14,13,12,11,10,11,9,10,11,12,13,14,15,16,7,8,9,12,15,14,13,12,11,10,11,10,9,13,12,11,7,8,9,10,11,12,12,12,11,10,9,8,23,22,21,20,19,18,17,16,15,14,13,12,11,12,13,14,9,11,12,13,14,15,16,21,20,19,18,17,16,15,14,13,12,11,10,9,10,11,12,13,14,15,16,17,18,19,18,17,16,15,14,13,12,11,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,16,18,17,16,12,11,10,9,8,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,20,21,22,21,19,18,18,17,16,15,13,13,13,12,10,11,12,13,16,15,16,17,18,10,9,8,7,6,7,27,26,25,24,23,24,23,22,21,20,19,20,21,16,15,14,15
Сходненская,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,13,14,15,16,17,18,21,20,19,18,17,16,17,15,14,13,12,11,10,9,10,11,12,13,14,15,16,12,18,19,19,17,16,15,15,14,12,11,10,10,9,7,8,9,10,11,5,4,3,4,5,9,10,13,12,8,10,9,8,7,9,9,13,12,9,10,11,12,13,12,13,12,11,10,9,8,24,23,22,21,20,19,18,17,16,15,14,13,12,11,12,13,14,16,17,18,19,20,21,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,18,17,16,15,14,13,12,12,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,8,15,14,13,12,11,10,9,8,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,22,21,20,19,18,17,16,15,14,13,14,13,12,10,11,12,13,12,11,12,13,14,7,6,5,6,7,8,27,26,25,24,23,25,24,22,21,20,19,20,21,22,23,14,15
Пражская,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,13,14,15,16,17,18,19,20,18,17,16,15,14,13,14,12,11,10,9,13,12,11,12,13,14,15,16,17,18,19,20,21,19,18,17,16,15,14,13,12,11,10,12,13,14,15,16,17,18,19,20,21,22,15,16,18,17,16,15,14,15,14,13,12,11,10,13,13,13,12,11,10,9,8,9,10,11,12,5,6,7,8,9,10,11,12,13,11,10,9,10,11,12,13,14,16,17,18,19,20,21,19,18,17,16,15,14,13,12,11,10,13,12,11,12,13,14,15,16,17,18,19,20,21,16,15,14,13,12,11,10,11,23,22,21,20,19,18,17,16,15,14,13,14,17,16,15,14,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,17,25,24,23,22,21,20,19,18,17,16,15,14,13,12,13,14,15,18,17,18,19,20,15,14,17,16,15,14,7,6,5,4,3,4,5,20,19,18,17,22,14,13,12,12,13
Юго-Западная,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,19,18,17,16,15,16,14,13,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,17,16,15,14,13,12,11,10,9,8,10,11,12,13,14,15,16,17,18,19,20,18,17,16,15,14,13,12,13,12,11,10,9,8,9,10,11,12,11,10,9,8,7,6,7,8,18,17,16,15,14,13,12,11,10,9,8,7,13,12,11,12,13,15,16,17,18,19,20,21,20,19,18,17,16,15,14,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,18,17,16,15,14,13,11,10,21,20,19,18,17,16,15,14,13,12,11,7,15,14,13,12,19,18,17,16,15,14,13,12,11,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,21,24,23,22,21,20,19,18,17,16,15,14,13,12,11,12,13,14,15,16,17,18,19,20,12,7,15,14,13,12,25,24,23,22,21,19,18,22,21,20,19,20,15,14,13,14,15
Калужская,20,19,18,17,16,15,14,13,12,11,10,9,8,7,13,12,11,10,9,10,11,12,13,14,15,16,17,16,15,14,13,12,13,11,10,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,17,16,15,14,13,12,11,10,8,10,8,9,10,11,12,13,14,15,16,17,18,11,10,9,8,7,6,9,7,9,8,9,13,12,10,11,11,11,10,9,8,7,6,7,8,9,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,18,17,16,15,14,13,12,11,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,14,13,12,11,10,9,8,7,19,18,17,16,15,14,13,12,11,10,9,8,14,15,12,13,19,18,17,16,15,15,14,13,12,11,10,9,8,7,8,9,10,11,12,12,11,10,9,8,7,16,17,18,17,16,15,14,13,12,11,10,9,10,9,10,11,12,13,14,15,16,17,18,9,8,14,15,12,13,11,10,9,8,7,6,5,19,18,17,16,15,14,13,12,10,11
